text,sentiment
"Hello, Summer",Neutral
"Get ready to experience the magic of chhaava Best! 

ðŸŽ¬âœ¨#InspirationalStory #MustSeeMovie #NewRelease",Positive
Letâ€™s take a moment to appreciate the incredible beauty of our worldâ€™s nature.,Positive
IT'S LOOK  LIKE ME AI MAGIC,Positive
Starting my journey into the stock market today,Neutral
"Life is all about embracing your unique beauty, inner strength, and shining bright every single day.",Positive
,Neutral
Nature has a way of calming the soul and inspiring awe.,Positive
"Transforming photos into unique works of art, one brushstroke at a time. Whether itâ€™s adding texture, depth, or a splash of color, the possibilities are endless.",Positive
,Neutral
"Nothing beats the cool, refreshing vibe of being surrounded by nature.",Positive
,Neutral
,Neutral
,Neutral
"Radha and Krishna â€“ the eternal symbols of love, devotion, and divine connection.",Positive
,Neutral
,Neutral
,Neutral
,Neutral
Created using fb.com/supportdigitalindia,Neutral
Created using fb.com/supportdigitalindia,Neutral
,Neutral
,Neutral
Happy new year friends.,Positive
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
thnx for wishing my dear friends !   ! !,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
"result has been declared. .!!!!!!!!!!!!!!!!!!

best of luck guys",Positive
,Neutral
,Neutral
,Neutral
,Neutral
